#========================================================================================
#                     Free energy perturbation    
#----------------------------------------------------------------------------------------
#forward/backward          λ              ΔΔA                 ΔA                  δε   
#                                                 
#----------------------------------------------------------------------------------------
forward:               0.0000              0.0000              0.0000              0.0000  
forward:               0.0500              0.6385              0.6385              0.0077  
forward:               0.1000              0.3563              0.9947              0.0099  
forward:               0.1500              0.2405              1.2353              0.0111  
forward:               0.2000              0.1756              1.4108              0.0118  
forward:               0.2500              0.1277              1.5385              0.0124  
forward:               0.3000              0.0952              1.6337              0.0130  
forward:               0.3500              0.0690              1.7027              0.0133  
forward:               0.4000              0.0607              1.7635              0.0136  
forward:               0.4500              0.0419              1.8054              0.0139  
forward:               0.5000              0.0294              1.8348              0.0143  
forward:               0.5500             -0.0471              1.7877              0.0148  
forward:               0.6000             -0.1671              1.6205              0.0151  
forward:               0.6500             -0.2736              1.3469              0.0155  
forward:               0.7000             -0.3519              0.9950              0.0158  
forward:               0.7500             -0.4284              0.5666              0.0161  
forward:               0.8000             -0.4926              0.0739              0.0165  
forward:               0.8500             -0.5378             -0.4639              0.0168  
